id,village,rus_village,lat,lon,lang,aff,family,standard,default_level,dialect_toplevel,dialect_toplevel_cyr,dialect_nt1,dialect_nt1_cyr,dialect_nt2,dialect_nt2_cyr,dialect_nt3,dialect_nt3_cyr,village_dialect,gltc_lang,lang_col,aff_col,dataset_version
959,Svobodnoe,Свободное,43.75891,45.25946,Chechen,Nakh,East Caucasian,NA,Chechen,NA,NA,NA,NA,NA,NA,NA,NA,Svobodnoe,chec1245,#996600,#996633,2024-09-19
960,Batyrkin,Батыркин,43.770778,45.675793,Chechen,Nakh,East Caucasian,NA,Chechen,NA,NA,NA,NA,NA,NA,NA,NA,Batyrkin,chec1245,#996600,#996633,2024-09-19
961,Kapustino,Капустино,43.776929,45.334864,Chechen,Nakh,East Caucasian,NA,Chechen,NA,NA,NA,NA,NA,NA,NA,NA,Kapustino,chec1245,#996600,#996633,2024-09-19
962,Nyrkov,Нырков,43.785403,45.386589,Chechen,Nakh,East Caucasian,NA,Chechen,NA,NA,NA,NA,NA,NA,NA,NA,Nyrkov,chec1245,#996600,#996633,2024-09-19
963,Dal'nee,Дальнее,43.789633,45.092068,Chechen,Nakh,East Caucasian,NA,Chechen,NA,NA,NA,NA,NA,NA,NA,NA,Dal'nee,chec1245,#996600,#996633,2024-09-19
964,Dubovskaya,Дубовская,43.793333,46.5525,Chechen,Nakh,East Caucasian,NA,Chechen,NA,NA,NA,NA,NA,NA,NA,NA,Dubovskaya,chec1245,#996600,#996633,2024-09-19
965,Borozdinovskaya,Бороздиновская,43.81,46.590833,Chechen,Nakh,East Caucasian,NA,Chechen,NA,NA,NA,NA,NA,NA,NA,NA,Borozdinovskaya,chec1245,#996600,#996633,2024-09-19
966,Zelyonoe,Зелёное,43.818442,45.983529,Chechen,Nakh,East Caucasian,NA,Chechen,NA,NA,NA,NA,NA,NA,NA,NA,Zelyonoe,chec1245,#996600,#996633,2024-09-19
967,Mayorskiy,Майорский,43.835318,45.489437,Chechen,Nakh,East Caucasian,NA,Chechen,NA,NA,NA,NA,NA,NA,NA,NA,Mayorskiy,chec1245,#996600,#996633,2024-09-19
968,Voskhod,Восход,43.852125,46.40915,Chechen,Nakh,East Caucasian,NA,Chechen,NA,NA,NA,NA,NA,NA,NA,NA,Voskhod,chec1245,#996600,#996633,2024-09-19
969,Burunskoe,Бурунское,43.860278,45.777778,Chechen,Nakh,East Caucasian,NA,Chechen,NA,NA,NA,NA,NA,NA,NA,NA,Burunskoe,chec1245,#996600,#996633,2024-09-19
970,Selivankin,Селиванкин,43.877187,45.6737,Chechen,Nakh,East Caucasian,NA,Chechen,NA,NA,NA,NA,NA,NA,NA,NA,Selivankin,chec1245,#996600,#996633,2024-09-19
971,Krechetovo,Кречетово,43.906622,45.0916,Chechen,Nakh,East Caucasian,NA,Chechen,NA,NA,NA,NA,NA,NA,NA,NA,Krechetovo,chec1245,#996600,#996633,2024-09-19
972,Peschanoe,Песчаное,43.908765,45.805986,Chechen,Nakh,East Caucasian,NA,Chechen,NA,NA,NA,NA,NA,NA,NA,NA,Peschanoe,chec1245,#996600,#996633,2024-09-19
973,Korneev,Корнеев,43.918603,45.602841,Chechen,Nakh,East Caucasian,NA,Chechen,NA,NA,NA,NA,NA,NA,NA,NA,Korneev,chec1245,#996600,#996633,2024-09-19
974,Runnoe,Рунное,43.919694,46.044794,Chechen,Nakh,East Caucasian,NA,Chechen,NA,NA,NA,NA,NA,NA,NA,NA,Runnoe,chec1245,#996600,#996633,2024-09-19
975,Chirag,Чираг,41.8381,47.4303,Chirag,Dargwic,East Caucasian,NA,Chirag,NA,NA,NA,NA,NA,NA,NA,NA,NA,chir1284,#ff9900,#ff9900,2024-09-19
976,Godoberi,Годобери,42.6258,46.1189,Godoberi,Andic,East Caucasian,NA,Godoberi,Godoberi,Годоберинский,NA,NA,NA,NA,NA,NA,Godoberi,ghod1238,#003399,#9900ff,2024-09-19
977,Beledi,Беледи,42.66722,46.05361,Godoberi,Andic,East Caucasian,NA,Godoberi,Beledi-Zibirkhali,NA,NA,NA,NA,NA,NA,NA,Beledi,ghod1238,#003399,#9900ff,2024-09-19
978,Zibirkhali,Зибирхали,42.66833,46.07194,Godoberi,Andic,East Caucasian,NA,Godoberi,Beledi-Zibirkhali,Беледи-зибирхалинский,NA,NA,NA,NA,NA,NA,Zibirkhali,ghod1238,#003399,#9900ff,2024-09-19
979,Genukh,Генух,42.1764,45.98646,Hinuq,Tsezic,East Caucasian,NA,Hinuq,NA,NA,NA,NA,NA,NA,NA,NA,Hinuq,hinu1240,#cc0000,#ff5050,2024-09-19
980,Saruso,Сарусо,41.9034507,45.991913,Hunzib,Tsezic,East Caucasian,NA,Hunzib,NA,NA,NA,NA,NA,NA,NA,NA,Saruso,hunz1247,#ff0066,#ff5050,2024-09-19
981,Gunzib,Гунзиб,42.137257,46.264448,Hunzib,Tsezic,East Caucasian,NA,Hunzib,NA,NA,NA,NA,NA,NA,NA,NA,Gunzib,hunz1247,#ff0066,#ff5050,2024-09-19
982,Nakhada,Нахада,42.14406,46.19143,Hunzib,Tsezic,East Caucasian,NA,Hunzib,NA,NA,NA,NA,NA,NA,NA,NA,Nakhada,hunz1247,#ff0066,#ff5050,2024-09-19
983,Garbutl',Гарбутль,42.153227,46.219098,Hunzib,Tsezic,East Caucasian,NA,Hunzib,NA,NA,NA,NA,NA,NA,NA,NA,Garbutl',hunz1247,#ff0066,#ff5050,2024-09-19
984,Shoani,Шоани,42.791174,44.779613,Ingush,Nakh,East Caucasian,NA,Ingush,NA,NA,NA,NA,NA,NA,NA,NA,Shoani,ingu1240,#663300,#996633,2024-09-19
985,Ol'geti,Ольгети,42.799632,44.756996,Ingush,Nakh,East Caucasian,NA,Ingush,Dzherakh,Джераховский,NA,NA,NA,NA,NA,NA,Ol'geti,ingu1240,#663300,#996633,2024-09-19
986,Lyazhgi,Ляжги,42.808416,44.732786,Ingush,Nakh,East Caucasian,NA,Ingush,NA,NA,NA,NA,NA,NA,NA,NA,Lyazhgi,ingu1240,#663300,#996633,2024-09-19
987,Guli,Гули,42.810771,44.798552,Ingush,Nakh,East Caucasian,NA,Ingush,Dzherakh,Джераховский,NA,NA,NA,NA,NA,NA,Guli,ingu1240,#663300,#996633,2024-09-19
988,Targim,Таргим,42.810924,44.938931,Ingush,Nakh,East Caucasian,NA,Ingush,Galgay,Галгаевский,NA,NA,NA,NA,NA,NA,Targim,ingu1240,#663300,#996633,2024-09-19
989,Armkhi,Армхи,42.81195,44.7075,Ingush,Nakh,East Caucasian,NA,Ingush,Dzherakh,Джераховский,NA,NA,NA,NA,NA,NA,Armkhi,ingu1240,#663300,#996633,2024-09-19
990,Dzheyrakh,Джейрах,42.821997,44.679701,Ingush,Nakh,East Caucasian,NA,Ingush,Dzherakh,Джераховский,NA,NA,NA,NA,NA,NA,Dzheyrakh,ingu1240,#663300,#996633,2024-09-19
991,Pyaling,Пялинг,42.822778,44.986389,Ingush,Nakh,East Caucasian,NA,Ingush,NA,NA,NA,NA,NA,NA,NA,NA,Pyaling,ingu1240,#663300,#996633,2024-09-19
992,Beyni,Бейни,42.834193,44.717048,Ingush,Nakh,East Caucasian,NA,Ingush,NA,NA,NA,NA,NA,NA,NA,NA,Beyni,ingu1240,#663300,#996633,2024-09-19
993,Egikkhal,Эгикхал,42.835294,44.923332,Ingush,Nakh,East Caucasian,NA,Ingush,NA,NA,NA,NA,NA,NA,NA,NA,Egikkhal,ingu1240,#663300,#996633,2024-09-19
994,Alkun,Алкун,42.967123,45.022044,Ingush,Nakh,East Caucasian,NA,Ingush,NA,NA,NA,NA,NA,NA,NA,NA,Alkun,ingu1240,#663300,#996633,2024-09-19
