id	family	group	language	idiom	type	genlang_point	map	feature	form	root	transcription	meaning word 1	meaning word 2	translation	do_verb	work_noun	value1	value1_name	example	source	page	comment	same_root_noun	contributor	example_as_in_source	grammar (from dictionary)	gloss	translation_as_in_source	example_source	example_page	example_comment	date	language_new	idiom_new	type_new
44	East Caucasian	Lezgic	Rutul	Mukhad	dialect_toplevel	yes	yes	Expression of the sense ‘to work’	гвалах выъын		gʷalaχ wɨʔɨn	дело, работа	делать		гыъын	гвалах, гвалахбыр	light_verb_constr	Expression of the sense 'to work'		ismailova2011	253			Konstantin Filatov, Svetlana Zemicheva	то же - в др. словаре							5.2025			
45	East Caucasian	Lezgic	Tabasaran	Standard Tabasaran	language	yes	yes	Expression of the sense ‘to work’	ляхин апӀуб		l'aχin apʼub	работа, труд	делать создавать	work do	апӀуб	ляхин	light_verb_constr	Expression of the sense 'to work'		xanmagomedovshalbuzov2001	220			Konstantin Filatov, Svetlana Zemicheva								5.2025			
46	Indo-European	Iranian	Tat	Juhuri	language	yes	yes	Expression of the sense ‘to work’	kor soxtə		kor soχtä	работа, дело, занятие	I. делать , сделать , совершать ; производить II. вспомогат. глагол при образ . сложных глагол ь н ых форм	do	soxtə	kor	light_verb_constr	Expression of the sense 'to work'	Şofer kor soxtə работать шофёром.	naftaliev2016	452	губинский диалект		Konstantin Filatov, Svetlana Zemicheva		делать, сделать, производить, произвести						5.2025			
47	Indo-European	Iranian	Tat	Juhuri	language	no	no	Expression of the sense ‘to work’	жофо кешире		žofo kešire	труд	1 . тянуть , тащить , таскать ; 2. привлекать , 3. выкачивать , вытягивать, черпать (воду); 4. взвешивать; 5. вспомогат. глагол при образ . сложных глаголов	work do	сохде	жофо	light_verb_constr	Expression of the sense 'to work'		izgijaeva2005	362	внесли в библ. Автор пишет, что опирается на дербентский диал. как основу лит. языка. Приводит оба варианта		Konstantin Filatov, Svetlana Zemicheva								5.2025			
48	East Caucasian	Andic	Tindi	Tindi	village	yes	yes	Expression of the sense ‘to work’	хӀалтӀ-йлъ’a		ħalt'jɬa				игьилъ’а	хӀaлтӀи, хӀйлтӀийар, хӀалтӀи-пиша	dedicated_verb	Expression of the sense 'to work'		magomedova2003	354		yes	Konstantin Filatov, Svetlana Zemicheva		(-ийо, -ийй, -йба, -ийо/-ийбта, -ийй)						5.2025			
49	East Caucasian	Lezgic	Tsakhur	Mishlesh	village	yes	yes	Expression of the sense ‘to work’	işlemiş-xes		išlemišxes		вовлекать		гьаий	иш	dedicated_verb	Expression of the sense 'to work'	Мана йик1еква ишлемишехъе - Он усердно работает; ана йъйкьра ишлемишехьена - Он степенно работает  (ibragimov1990)	kibrik1999	898		yes	Konstantin Filatov, Svetlana Zemicheva								5.2025			
50	East Caucasian	Tsezic	Tsez	Kidero	dialect_nt1	yes	yes	Expression of the sense ‘to work’	хӀалтӀи бода		ħalt’iboda	работа, труд	делать	work do	бода	хӀалтӀи; бейн/и	light_verb_constr	Expression of the sense 'to work'		xalilov1999	493			Konstantin Filatov, Svetlana Zemicheva								5.2025			
51	East Caucasian	Tsezic	Tsez	Asakh	dialect_nt1	yes	yes	Expression of the sense ‘to work’	бейнода		bejnoda				бода; бува	бейн/и	dedicated_verb	Expression of the sense 'to work'		abdulaevkhalilov2023	73, 92, 98	БЕЙНА/ДÁ - учащательная форма (с. 80)	yes	Konstantin Filatov, Svetlana Zemicheva								5.2025			
52	East Caucasian	Nakh	Tsova-Tush	Zemo-Alvani	village	yes	yes	Expression of the sense ‘to work’	мушебадд-ā		mušebadd-aː				даН	ботх	dedicated_verb	Expression of the sense 'to work'		desheriev1953	12	https://ids.clld.org/contributions/533		Konstantin Filatov, Svetlana Zemicheva								5.2025			
53	East Caucasian	Lezgic	Udi	Nizh	dialect_toplevel	yes	yes	Expression of the sense ‘to work’	aşbesun		ašbesun			work do	besun	aş/əş	light_verb_constr	Expression of the sense 'to work'		mobili2010	36	! в этом словаре есть азерб.		Konstantin Filatov, Svetlana Zemicheva								5.2025			
