id	family	group	lang	idiom	type	genlang_point	map	feature	value1	value1_name	source	page	yesterday	yesterday_source	yesterday_page	the_day_before_yesterday	day_before_yesterday_source	day_before_yesterday_page	two_days_before_yesterday	two_days_before_source	two_days_before_page	three_days_before_yesterday	three_days_before_source	three_days_before_page	comment	contributor	date
31	East Caucasian	Andic	Karata	Anchiq	village	no	yes	strategy of naming the days before yesteday	2	Amount of distinct terms for days before today	magomedovaxalidova2001	256, 276	су́ни	magomedovaxalidova2001	256	уᴴс̄ва́ри	magomedovaxalidova2001	276	NA	NA	NA	NA	NA	NA		Timofey Dedov	30.06.2022
32	East Caucasian	Khinalug	Khinalug	Khinalug	village	yes	yes	strategy of naming the days before yesteday	2	Amount of distinct terms for days before today	ganieva2002	197, 211	ла́гъын	ganieva2002	197	лукьо́схын	ganieva2002	211	NA	NA	NA	NA	NA	NA		Timofey Dedov	30.06.2022
33	East Caucasian	Tsezic	Khwarshi	Kwantlada	village	yes	yes	strategy of naming the days before yesteday	2	Amount of distinct terms for days before today	khalilova2009	128	huniža	khalilova2009	128	hunsalaquł	khalilova2009	128	NA	NA	NA	NA	NA	NA		Timofey Dedov	30.06.2022
34	East Caucasian	Lezgic	Kryz	Kryz	village	yes	yes	strategy of naming the days before yesteday	1	Amount of distinct terms for days before today	authier2009	21	naq’	authier2009	21	NA	NA	NA	NA	NA	NA	NA	NA	NA		Timofey Dedov	30.06.2022
35	Turkic	Kipchak	Kumyk	Kumyk	language	yes	yes	strategy of naming the days before yesteday	2	Amount of distinct terms for days before today	bammatov2013	314, 58	тунегюн	bammatov2013	314	бирисигюн	bammatov2013	58	NA	NA	NA	NA	NA	NA		Timofey Dedov	30.06.2022
36	East Caucasian	Lak	Lak	Standard Lak	language	yes	yes	strategy of naming the days before yesteday	2	Amount of distinct terms for days before today	khajdakov1962	12, 300	ла́хьхьу	khajdakov1962	12	цархьхьу	khajdakov1962	300	NA	NA	NA	NA	NA	NA		Timofey Dedov	30.06.2022
37	East Caucasian	Lezgic	Lezgian	Lezgian	language	yes	yes	strategy of naming the days before yesteday	1	Amount of distinct terms for days before today	talibovgadzhiev1966	250	накь	talibovgadzhiev1966	250	NA	NA	NA	NA	NA	NA	NA	NA	NA		Timofey Dedov	30.06.2022
38	Turkic	Kipchak	Nogai	Nogai	language	yes	yes	strategy of naming the days before yesteday	2	Amount of distinct terms for days before today	baskakov1963	370, 82	туьнегуьн	baskakov1963	370	бирисигуьи	baskakov1963	82	NA	NA	NA	NA	NA	NA		Timofey Dedov	30.06.2022
39	East Caucasian	Lezgic	Rutul	Rutul	language	yes	yes	strategy of naming the days before yesteday	2	Amount of distinct terms for days before today	alisultanovsulejmanova2019	460, 409	ниъ'гъа	alisultanovsulejmanova2019	460	хьу'рад-йыгъ, хьу'рад йыгъа	alisultanovsulejmanova2019	409	NA	NA	NA	NA	NA	NA		Timofey Dedov	30.06.2022
40	East Caucasian	Lezgic	Tabasaran	Tabarasan	language	yes	yes	strategy of naming the days before yesteday	2	Amount of distinct terms for days before today	xanmagomedovshalbuzov2001	240, 348	накь	xanmagomedovshalbuzov2001	240	шву́ргъан	xanmagomedovshalbuzov2001	348	NA	NA	NA	NA	NA	NA	шву́ргъан = швур+йигъан	Timofey Dedov	30.06.2022
41	East Caucasian	Lezgic	Tabasaran	Southern Tabasaran	dialect_toplevel	no	yes	strategy of naming the days before yesteday	2	Amount of distinct terms for days before today	xanmagomedovshalbuzov2001	240, 348	накь	xanmagomedovshalbuzov2001	240	шву́ргъан	xanmagomedovshalbuzov2001	348	NA	NA	NA	NA	NA	NA	шву́ргъан = швур+йигъан	Timofey Dedov	30.06.2022
42	East Caucasian	Lezgic	Tabasaran	Northern Tabasaran	dialect_toplevel	no	yes	strategy of naming the days before yesteday	2	Amount of distinct terms for days before today	xanmagomedovshalbuzov2001	240, 348	накь	xanmagomedovshalbuzov2001	240	шву́ргъан	xanmagomedovshalbuzov2001	348	NA	NA	NA	NA	NA	NA	шву́ргъан = швур+йигъан	Timofey Dedov	30.06.2022
43	Indo-European	Iranian	Tat	Judeo-Tat	dialect_toplevel	yes	yes	strategy of naming the days before yesteday	3	Amount of distinct terms for days before today	naftaliev2016	115, 389	di	naftaliev2016	115	pəʀi	naftaliev2016	389	pəʀində	naftaliev2016	389	NA	NA	NA		Timofey Dedov	30.06.2022
44	East Caucasian	Andic	Tindi	Tindi	village	yes	yes	strategy of naming the days before yesteday	2	Amount of distinct terms for days before today	magomedova2003	246, 304, 305	лъа́хъа, су́ни	magomedova2003	246, 304	су́ᴴл̄ъибас̄ери	magomedova2003	305	NA	NA	NA	NA	NA	NA	су́ᴴл̄ъибас̄ери = суни+лъиба+сери(before)	Timofey Dedov	30.06.2022
45	East Caucasian	Lezgic	Tsakhur	Tsakhur	language	yes	yes	strategy of naming the days before yesteday	2	Amount of distinct terms for days before today	ibragimovnurmamedov2011	306, 141	санихьа	ibragimovnurmamedov2011	306	гьийгъына	ibragimovnurmamedov2011	141	NA	NA	NA	NA	NA	NA		Timofey Dedov	30.06.2022
46	East Caucasian	Tsezic	Tsez	Tsez	dialect_toplevel	yes	yes	strategy of naming the days before yesteday	3	Amount of distinct terms for days before today	xalilov1999	506, 507	хIулъ	xalilov1999	506	хIулъза́кь	xalilov1999	507	хIулъза́кьтов	xalilov1999	507	NA	NA	NA		Timofey Dedov	30.06.2022
47	East Caucasian	Nakh	Tsova-Tush	Zemo-Alvani	village	yes	yes	strategy of naming the days before yesteday	2	Amount of distinct terms for days before today	Jesse Wichers-Schreur, p.c.		psare	Jesse Wichers-Schreur, p.c.		sipsreh̥	NA	NA	NA	NA	NA	NA	NA	NA		Timofey Dedov	30.06.2022
48	East Caucasian	Lezgic	Udi	Nizh	village	yes	yes	strategy of naming the days before yesteday	3	Amount of distinct terms for days before today	gukasyan1974	179, 74, 57	наъине	gukasyan1974	179	баъгъена, běšǐnǧi	gukasyan1974, mobili2010	74, 57	баъгъаъргъена, bə̌ǧə̌rǧina	gukasyan1974, mobili2010	74, 60	NA	NA	NA		Timofey Dedov	30.06.2022
