id	lang	idiom	type	genlang_point	map	feature	value1	value1_name	value2	value2_name	source	page	comment	contributor	form	form_seg	form_gloss	russian_gloss	date
26	Andi	Rikvani	village	no	yes	Morning greeting	Did you wake up?	Type of morning greeting	NA	Borrowing source	Chopan Gaziev, p.c.	NA	Answer: менгуло вуч1иде? ("А сам проснулся?"); в грамматике Сулейманова, глагол в/уч1и не встречается как "проснуться, встать", но Чопан его использовал в одной моей анкете, так что видимо существует как отдельный глагол в рикванинском.	Samira Verhees	вучIиде	в-учI-и=де	m-get_up-aor=q	m-вставать-aor=q	04.2021
27	Dargwa	Sanzhi	village	no	yes	Morning greeting	Did you wake up?	Type of morning greeting	NA	Borrowing source	forker2020dargwa	552		Samira Verhees	walhundew	w-alh-un=de=w	m-wake_up.pfv-pret=2sg=q	m-проснуться-pret=2sg=q	04.2021
28	Chechen	Standard Chechen	language	yes	yes	Morning greeting	Good morning	Type of morning greeting	NA	Borrowing source	karasaevmaciev1978	135		Chiara Naccarato	Iуьйре дика хуьлда	Iуьйре дика хуьл<д>а	morning good become.opt<d>	утро добрый стать.opt<d>	04.2021
29	Dargwa	Standard Dargwa	language	yes	yes	Morning greeting	Did you wake up?	Type of morning greeting	NA	Borrowing source	Uzlipat Gasanova, p.c.	NA		Samira Verhees	велхIунрив	в-елхI-ун-ри=в	m-wake_up.pfv-pret-2sg=q	m-проснуться-pret-2sg=q	04.2021
30	Georgian	Standard Georgian	language	yes	yes	Morning greeting	Good morning	Type of morning greeting	NA	Borrowing source	hewitt2005	15		Chiara Naccarato	dila mšvidobisa(t)	dila mšvidob-isa	morning peace-gen	утро мир-gen	04.2021
31	Ingush	Standard Ingush	language	yes	yes	Morning greeting	Good morning	Type of morning greeting	NA	Borrowing source	nicholssite	NA		Chiara Naccarato	wijra dika xalda hwa	wijra dika xal<d>a hwa	morning good be.opt<d>	утро добрый быть.opt<d>	04.2021
32	Kumyk	Standard Kumyk	language	yes	yes	Morning greeting	Good morning	Type of morning greeting	NA	Borrowing source	kumyktil	NA		Samira Verhees	танг яхшы болсун	танг яхшы бол-сун	dawn good be-imp.3sg	рассвет добрый быть-imp.3sg	04.2021
33	Lak	Standard Lak	language	yes	yes	Morning greeting	Both	Type of morning greeting	NA	Borrowing source	kasplingua	NA	Expression from website, translation of individual words from the dictionary.	Samira Verhees	хъинсса кIюрх хьуннав		morning good become.opt.2	утро добрый стать.opt.2	04.2021
58	Lak	Standard Lak	language	no	no	Morning greeting	Both	Type of morning greeting	NA	Borrowing source	khajdakov1962	124	Glosses added with the help of the dictionary and the grammar. The base verb is изан/бизан 'get up'.	Samira Verhees	ивзрав	ивз-ра-в	get_up.m-2sg.pst-q	вставать.m-2sg-pst-q	04.2021
34	Lezgian	Standard Lezgian	language	yes	yes	Morning greeting	Good morning	Type of morning greeting	NA	Borrowing source	abdulmutalibov2005	NA	хийир = benefit, profit, good (adj. good = qhsan)	Chiara Naccarato	пакаман хийир	пакама-н хийир	morning-atr benefit	утро-atr благо	04.2021
35	Lezgian	Standard Lezgian	language	no	no	Morning greeting	Good morning	Type of morning greeting	Azerbaijani	Borrowing source	abdulmutalibov2005	NA		Chiara Naccarato	сабагъ хийир	сабагъ хийир	morning benefit	утро благо	04.2021
36	Nogai	Standard Nogai	language	yes	yes	Morning greeting	Good morning	Type of morning greeting	NA	Borrowing source	omniglotGM	NA		Chiara Naccarato	эртенъ яхшы болсын	эртенъ яхшы бол-сын	morning good be-imp.3sg	утро добрый быть-imp.3sg	04.2021
37	Rutul	Standard Rutul	language	yes	yes	Morning greeting	Good morning	Type of morning greeting	Azerbaijani	Borrowing source	ismailova2011	316		Chiara Naccarato	сабах хайир	сабах хайир	morning benefit	утро благо	04.2021
38	Armenian	Eastern Armenian	language	yes	yes	Morning greeting	Good morning	Type of morning greeting	NA	Borrowing source	omniglotGM	NA		Chiara Naccarato	bari luys	bari luys	good light	добрый свет	04.2021
39	Avar	Standard Avar	language	yes	yes	Morning greeting	Did you wake up?	Type of morning greeting	Avar	Borrowing source	gimbatov2006	332		Samira Verhees	ворчIами	в-орчI-ами	m-wake_up-pst.q	m-просыпаться-pst.q	04.2021
40	Azerbaijani	Standard Azerbaijani	language	yes	yes	Morning greeting	Good morning	Type of morning greeting	Azerbaijani	Borrowing source	omniglotGM; Monika Rind-Pawlowski, p.c.	NA; NA		Samira Verhees	Sabahın xeyir / Sabahınız xeyir	Sabah-ın xeyir / Sabah-ınız xeyir	morning-2sg.pos benefit / morning-2pl.pos benefit	утро-2sg.pos благо / утро-2pl.pos благо	04.2021
41	Tabasaran	Standard Tabasaran	language	yes	yes	Morning greeting	Good morning	Type of morning greeting	Azerbaijani	Borrowing source	xanmagomedovshalbuzov2001	265	хайир = польза, выгода, прибыль; благо, добро / хайир = утро (редко)	Chiara Naccarato	сабагъ хайир	сабагъ хайир	morning benefit	утро благо	04.2021
42	Akhvakh	Tad-Magitl'	village	yes	yes	Morning greeting	Did you wake up?	Type of morning greeting	NA	Borrowing source	magomedovaabdulaeva2007	147		Samira Verhees	гьечIайичи	гьечI-айи=чи	get_up-pst=q	вставать-pst=q	04.2021
43	Dargwa	Tanty	village	no	yes	Morning greeting	Did you wake up?	Type of morning greeting	NA	Borrowing source	Yury Lander, p.c.	NA		Samira Verhees	walʕundi	w-alʕ-un=di	m-wake_up.pfv-pret=2sg.q	m-проснуться-pret=2sg.q	04.2021
44	Tindi	Tindi	village	yes	yes	Morning greeting	Did you wake up?	Type of morning greeting	NA	Borrowing source	magomedova2003	160		Samira Verhees	гьеццода(в)	гьецц-о=да(-в)	get_up-pst=q(-m)	вставать-pst=q(-m)	04.2021
45	Tsakhur	Tsakh	dialect_toplevel	yes	yes	Morning greeting	Good morning	Type of morning greeting	NA	Borrowing source	ibragimovnurmamedov2010	463	хайир also has a separate entry in the dictionary and occurs in a number of examples.	Samira Verhees	МичIейдын хайир!	МичIейд-ын хайир!	morning-atr benefit	утро-atr благо	04.2021
46	Dargwa	Tsudakhar	dialect_nt1	no	yes	Morning greeting	Did you wake up?	Type of morning greeting	NA	Borrowing source	Anonymous consultant, p.c.	NA		Samira Verhees	гьайцурди	гьайц-ур=ди	get_up.pfv.m-pret=2sg.q	встать.m-pret=2sg.q	04.2021
47	Karata	Tukita	village	no	yes	Morning greeting	Did you wake up?	Type of morning greeting	NA	Borrowing source	Michael Daniel, p.c.	NA		Chiara Naccarato	гьащду паркъа гьерчIчIубе	гьащду паркъа гьерчIчI-у-б-е	how quickly stand_up-ptcp-hpl-pl	как быстро вставать-ptcp-hpl-pl	04.2021
48	Tsova-Tush	Zemo-Alvani	village	yes	yes	Morning greeting	No special greeting	Type of morning greeting	NA	Borrowing source	Jesse Wichers Schreur, p.c.	NA	Only general greetings in Batsbi: local, Kakhetian, and Georgian, no special greeting for the morning. According to Jesse, 'good morning' is rarely used in Georgian as well.	Samira Verhees	NA	NA	NA	NA	04.2021
49	Andi	Zilo	village	no	yes	Morning greeting	Did you wake up?	Type of morning greeting	NA	Borrowing source	Aligadzhi Magomedov, p.c.	NA	Вопросительная частица прошедшего времени в Зило будет =диле. Они как будто заимствовали приветствие из собственно андийского диалекта! Алигаджи прокомментировал, что вуч1ч1иде - приветствие, а вуч1ч1идиле, когда реально задается вопрос, проснулся ли человек! Ваааауууууу.	Samira Verhees	вучIчIиде	в-учIчI-и=де	m-get_up-aor=q	m-вставать-aor=q	04.2021
