id	village	rus_village	lat	lon	lang	aff	family	standard	default_level	dialect_toplevel	dialect_toplevel_cyr	dialect_nt1	dialect_nt1_cyr	dialect_nt2	dialect_nt2_cyr	dialect_nt3	dialect_nt3_cyr	village_dialect	gltc_lang	lang_col	aff_col	dataset_version
368	Urib	Уриб	42.4564	46.6736	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	North-Eastern Avar	северовосточноаварский	Teletli	телетлинский	Urib	avar1256	#009999	#009999	2025-03-20
369	Urma	Урма	42.5383	47.2869	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	North-Eastern Avar	северовосточноаварский	Gergebil	гергебильский	Urma	avar1256	#009999	#009999	2025-03-20
370	Urukh-Sota	Урух-Сота	42.24222	46.67694	Avar	Avar-Andic	East Caucasian		Avar	Hid-Qeleb	Гидское	Hid	собственно гидский	Urukh-sota	урухсотинский			Urukh-Sota	avar1256	#009999	#009999	2025-03-20
371	Urchiab	Урчиаб	42.657739	47.016338	Avar	Avar-Andic	East Caucasian		Avar									Urchiab	avar1256	#009999	#009999	2025-03-20
372	Urchukh	Урчух	42.325548	46.495518	Avar	Avar-Andic	East Caucasian		Avar	Hid-Qeleb	Гидское	Qeleb	келебский					Urchukh	avar1256	#009999	#009999	2025-03-20
373	Utlukh	Утлух	42.267533	46.730055	Avar	Avar-Andic	East Caucasian		Avar	Qaraq-Bukhti-Unti	Карахско-бухтинско-унтибское	Qaraq	карахский	Upper Qaraq	верхне-карахский			Utlukh	avar1256	#009999	#009999	2025-03-20
374	Khadakolob	Хадаколоб	42.231683	46.261819	Avar	Avar-Andic	East Caucasian		Avar	Antlratl	Анкратльское	Northern Antlratl	северноанкратльский	Antsuq	анцухский			Khadakolob	avar1256	#009999	#009999	2025-03-20
375	Khadiyal	Хадиял	42.0989	46.4653	Avar	Avar-Andic	East Caucasian		Avar	Antlratl	Анкратльское	Southern Antlratl	южноанкратльский	Buhnada	бухнадинский			Khadiyal	avar1256	#009999	#009999	2025-03-20
376	Xalatala	Халатала	41.7158	46.2794	Avar	Avar-Andic	East Caucasian		Avar	Southern Avar	Южноаварский	Zaqatala	закатальский	Balakən	белоканский	Kabakhchol	кабахчольский	Xalatala	avar1256	#009999	#009999	2025-03-20
377	Khamagib	Хамагиб	42.4054914	46.8455118	Avar	Avar-Andic	East Caucasian		Avar	Kuyada-Salta	Куяда-салтинское	Kuyada	куядинский					Khamagib	avar1256	#009999	#009999	2025-03-20
378	Khamakal	Хамакал	42.428109	46.674497	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Qahib	кахибский					Khamakal	avar1256	#009999	#009999	2025-03-20
379	Khamar	Хамар	42.095868	46.383695	Avar	Avar-Andic	East Caucasian		Avar	Antlratl	Анкратльское	Northern Antlratl	северноанкратльский	Antsros-Unhada	анцрос-унхадинский			Khamar	avar1256	#009999	#009999	2025-03-20
380	Khantakolob	Хантаколоб	42.21944	46.29083	Avar	Avar-Andic	East Caucasian		Avar									Khantakolob	avar1256	#009999	#009999	2025-03-20
381	Kharada	Харада	42.222648	46.258528	Avar	Avar-Andic	East Caucasian		Avar	Antlratl	Анкратльское	Northern Antlratl	северноанкратльский	Antsuq	анцухский			Kharada	avar1256	#009999	#009999	2025-03-20
382	Kharakhi	Харахи	42.6433	46.5211	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	Khunzaq	хунзахский			Kharakhi	avar1256	#009999	#009999	2025-03-20
383	Kharachi	Харачи	42.67744	46.82263	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	Khunzaq	хунзахский			Kharachi	avar1256	#009999	#009999	2025-03-20
384	Kharib	Хариб	42.5911497	46.3972842	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	Unqratl	ункратльский			Kharib	avar1256	#009999	#009999	2025-03-20
385	Kharikolo	Хариколо	42.5451	46.80847	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	Khunzaq	хунзахский			Kharikolo	avar1256	#009999	#009999	2025-03-20
386	Həsənbinə	Хасануба	41.54306	46.48649	Avar	Avar-Andic	East Caucasian		Avar	Southern Avar	Южноаварский	Zaqatala	закатальский	Car	джарский			Həsənbinə	avar1256	#009999	#009999	2025-03-20
387	Khakhita	Хахита	42.4667	47.2642	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	North-Eastern Avar	северовосточноаварский	Gergebil	гергебильский	Khakhita	avar1256	#009999	#009999	2025-03-20
